item_number,mcat,tier,model,gvwr,floor_type,bed_length,width,tongue,stack_height,total_footprint,updated_at
14GN-40STA,FLATBED GOOSENECK,3,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GN-40STA-S8BK,FLATBED GOOSENECK,3,14GN,15900,Wood,40.0,8.0,9.0,2.5,49.0,2026-04-17T15:46:34Z
14GT-14,DUMP,3,14GT,15900,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
14GT-14BK6-P4,DUMP,3,14GT,15900,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
14GT-14BK6SIR,DUMP,2,14GT,15900,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
14GT-16,DUMP,3,14GT,15900,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
14GT-16BK6-P4,DUMP,3,14GT,15900,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
14GT-16BK6SIR,DUMP,3,14GT,15900,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
14GX-14,DUMP,3,14GX,15900,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
14GX-14BK6-P3,DUMP,4,14GX,15900,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
14GX-14BK6-P4,DUMP,3,14GX,15900,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
14GX-14BK6SIRPD,DUMP,1,14GX,15900,Steel,14.0,7.0,9.0,5.0,23.0,2026-04-17T15:46:34Z
14GX-16,DUMP,3,14GX,15900,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
14GX-16BK6-P3,DUMP,4,14GX,15900,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
14GX-16BK6-P4,DUMP,2,14GX,15900,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
14GX-16BK6SIRPD,DUMP,1,14GX,15900,Steel,16.0,7.0,9.0,5.0,25.0,2026-04-17T15:46:34Z
14LP-12,DUMP,3,14LP,14000,Steel,12.0,7.0,4.0,4.0,16.0,2026-04-17T15:46:34Z
14LP-12BK6-P3,DUMP,4,14LP,14000,Steel,12.0,7.0,4.0,4.5,16.0,2026-04-17T15:46:34Z
14LP-12BK6-P4,DUMP,3,14LP,14000,Steel,12.0,7.0,4.0,5.0,16.0,2026-04-17T15:46:34Z
14LP-12BK6SIRPD,DUMP,1,14LP,14000,Steel,12.0,7.0,4.0,4.0,16.0,2026-04-17T15:46:34Z
14LP-14,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-14BK6-12KHJ,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-14BK6-12KHJ-P4,DUMP,4,14LP,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LP-14BK6-P3,DUMP,4,14LP,14000,Steel,14.0,7.0,4.0,4.5,18.0,2026-04-17T15:46:34Z
14LP-14BK6-P4,DUMP,1,14LP,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LP-14BK6SIRPD,DUMP,1,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-14BL6-P4,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LP-14BL6SIRPD,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-14DT6-P4,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LP-14DT6SIRPD,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-14GY6-P4,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LP-14GY6SIRPD,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-14SG6-P4,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LP-14SG6SIRPD,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-14WH6-P4,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LP-14WH6SIRPD,DUMP,3,14LP,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LP-16,DUMP,3,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LP-16BK6-12KHJ,DUMP,3,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LP-16BK6-12KHJ-P4,DUMP,4,14LP,14000,Steel,16.0,7.0,4.0,5.0,20.0,2026-04-17T15:46:34Z
14LP-16BK6-P3,DUMP,4,14LP,14000,Steel,16.0,7.0,4.0,4.5,20.0,2026-04-17T15:46:34Z
14LP-16BK6-P4,DUMP,1,14LP,14000,Steel,16.0,7.0,4.0,5.0,20.0,2026-04-17T15:46:34Z
14LP-16BK6SIRPD,DUMP,1,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LP-16BL6SIRPD,DUMP,3,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LP-16DT6SIRPD,DUMP,3,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LP-16GY6SIRPD,DUMP,3,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LP-16SG6SIRPD,DUMP,3,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LP-16WH6SIRPD,DUMP,3,14LP,14000,Steel,16.0,7.0,4.0,4.0,20.0,2026-04-17T15:46:34Z
14LX-14,DUMP,4,14LX,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LX-14BK7SIRPD,DUMP,4,14LX,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LX-14C2A-BK,DUMP,1,14LX,14000,Steel,14.0,7.0,4.0,4.0,18.0,2026-04-17T15:46:34Z
14LX-14C4A-BK,DUMP,1,14LX,14000,Steel,14.0,7.0,4.0,5.0,18.0,2026-04-17T15:46:34Z
14LX-16BK-P4,DUMP,4,14LX,14000,Steel,16.0,7.0,4.0,5.0,20.0,2026-04-17T15:46:34Z
14OA-16,EQUIPMENT HAULER,4,14OA,15400,Wood,16.0,8.0,6.0,2.5,22.0,2026-04-17T15:46:34Z
14OA-16BK-8SIR,EQUIPMENT HAULER,4,14OA,15400,Wood,16.0,8.0,6.0,2.5,22.0,2026-04-17T15:46:34Z
