item_number,mcat,tier,model,gvwr,floor_type,bed_length,width,tongue,stack_height,total_footprint,updated_at,matched_weight_lbs,weight_match_found
14EH-20D3A-MRBK,EQUIPMENT HAULER,1,14EH,15400,Wood,20,7.0,6,2,26,2026-05-12T14:11:41Z,3350,Y
14EH-22D3A,EQUIPMENT HAULER,3,14EH,15400,Wood,22,7.0,6,2,28,2026-05-12T14:11:41Z,3300,Y
14EH-22D3A-KRBK,EQUIPMENT HAULER,3,14EH,15400,Wood,22,7.0,6,2,28,2026-05-12T14:11:41Z,3300,Y
14EH-22D3A-MRBK,EQUIPMENT HAULER,1,14EH,15400,Wood,22,7.0,6,2,28,2026-05-12T14:11:41Z,3500,Y
14EH-24D3A,EQUIPMENT HAULER,3,14EH,15400,Wood,24,7.0,6,2,30,2026-05-12T14:11:41Z,3480,Y
14EH-24D3A-KRBK,EQUIPMENT HAULER,3,14EH,15400,Wood,24,7.0,6,2,30,2026-05-12T14:11:41Z,3480,Y
14EH-24D3A-MRBK,EQUIPMENT HAULER,2,14EH,15400,Wood,24,7.0,6,2,30,2026-05-12T14:11:41Z,3680,Y
14EHG-20D3A,EQUIPMENT HAULER,3,14EHG,15900,Wood,20,7.0,9,2.5,29,2026-05-12T14:11:41Z,3530,Y
14EHG-22D3A,EQUIPMENT HAULER,3,14EHG,15900,Wood,22,7.0,9,2.5,31,2026-05-12T14:11:41Z,3690,Y
14EHG-24D3A,EQUIPMENT HAULER,3,14EHG,15900,Wood,24,7.0,9,2.5,33,2026-05-12T14:11:41Z,3870,Y
14ET-16,EQUIPMENT HAULER,4,14ET,14000,Wood,16,7.0,4,2,20,2026-05-12T14:11:41Z,,N
14ET-16BK,EQUIPMENT HAULER,4,14ET,14000,Wood,16,7.0,4,2,20,2026-05-12T14:11:41Z,,N
14ET-16BK-KR,EQUIPMENT HAULER,4,14ET,14000,Wood,16,7.0,4,2,20,2026-05-12T14:11:41Z,,N
